Продукт,Калорийность,Белки,Жиры,Углеводы
Луциан желтохвостый,107 кКал,"22,6 г","1,8 г",0 г
"Лягушачьи лапки, сырые",73 кКал,"16,4 г","0,3 г",0 г
Мавроликус,173 кКал,14 г,13 г,0 г
Макрель,113 кКал,"20,7 г","3,4 г",0 г
"Макрель испанская, приготовленная на жару",158 кКал,"23,59 г","6,32 г",0 г
"Макрель испанская, сырая",139 кКал,"19,29 г","6,3 г",0 г
"Макрель королевская, приготовленная на жару",134 кКал,26 г,"2,56 г",0 г
"Макрель королевская, сырая",105 кКал,"20,28 г",2 г,0 г
Макрурус малоглазый,32 кКал,"7,1 г","0,4 г",0 г
Макрурус тупорылый,68 кКал,"13,3 г","1,6 г",0 г
Маринка,112 кКал,"16,8 г",5 г,0 г
"Масло, белужье, китовое (Аляска)",900 кКал,0 г,100 г,0 г
"Масло, китовое, гренландский или полярный кит (Аляска)",900 кКал,0 г,100 г,0 г
"Масло, моржовое (Аляска)",900 кКал,0 г,100 г,0 г
Масляная рыба,113 кКал,"18,8 г","4,2 г",0 г
"Масляная рыба, приготовленная на жару",187 кКал,"22,15 г","10,28 г",0 г
"Масляная рыба, сырая",146 кКал,"17,28 г","8,02 г",0 г
"Медуза, сушеная с солью",36 кКал,"5,5 г","1,4 г",0 г
"Менек, приготовленный на жару",112 кКал,"24,35 г","0,88 г",0 г
"Менек, сырой",87 кКал,"18,99 г","0,69 г",0 г
Мероу,104 кКал,"19,4 г","2,9 г",0 г
Мидии,77 кКал,"11,5 г",2 г,"3,3 г"
Мидия cockles (Аляска),79 кКал,"13,5 г","0,7 г","4,7 г"
"Мидия голубая, приготовленная на пару",172 кКал,"23,8 г","4,48 г","7,39 г"
"Мидия голубая, сырая",86 кКал,"11,9 г","2,24 г","3,69 г"
Минога каспийская,326 кКал,"13,2 г","30,3 г",0 г
"Минога речная, весенняя",119 кКал,"13,5 г","7,2 г",0 г
"Минога речная, осенняя",213 кКал,"15,9 г","16,6 г",0 г
Минтай,72 кКал,"15,9 г","0,9 г",0 г
"Минтай припущенный, по 1-354",75 кКал,"16,2 г","1,1 г",0 г
"Минтай, Аляска",76 кКал,"17,17 г","0,82 г",0 г
"Минтай, Аляска, приготовленный",86 кКал,"19,42 г","0,99 г",0 г
"Минтай, приготовленный на жару",111 кКал,"23,48 г","1,18 г",0 г
"Минтай, сырой",56 кКал,"12,19 г","0,41 г",0 г
Мойва весенняя,116 кКал,"13,1 г","7,1 г",0 г
Мойва осенняя,217 кКал,"13,6 г","18,1 г",0 г
"Моллюск брюхоногий, печеный или жареный на открытом огне",130 кКал,"26,3 г","1,2 г","1,7 г"
Моллюск двустворчатый,86 кКал,"14,67 г","0,96 г","3,57 г"
