Продукт,Калорийность,Белки,Жиры,Углеводы
"Детское питание, Овощи, морковь, пюре",26 кКал,"0,8 г","0,1 г","4,3 г"
"Детское питание, Овощи, мускатная тыква и кукуруза",50 кКал,2 г,"0,6 г","7,26 г"
"Детское питание, Овощи, овощная смесь, пюре",36 кКал,1 г,"0,5 г","6,75 г"
"Детское питание, Овощи, с грядки, пюре",32 кКал,"2,3 г","0,2 г","5,3 г"
"Детское питание, Овощи, свекла, пюре",34 кКал,"1,3 г","0,1 г","5,8 г"
"Детское питание, Овощи, сквош (тыква или кабачок или патиссон), пюре",28 кКал,"0,81 г","0,2 г","4,83 г"
"Детское питание, Овощи, сладкий картофель (батат), пюре",57 кКал,"1,1 г","0,1 г","11,7 г"
"Детское питание, Овощи, шпинат, протертый, пюре",37 кКал,"2,5 г","1,3 г","3,9 г"
"Детское питание, Овсянка с фруктами, сухая, быстрого приготовления, для детей, начинающих ходить",402 кКал,"10,5 г","7,05 г","66,3 г"
"Детское питание, Персики, кубики, для детей, начинающих ходить",51 кКал,"0,5 г","0,2 г",11 г
"Детское питание, Печеные продукты, хлебные палочки",421 кКал,"6,4 г","9,9 г","74,38 г"
"Детское питание, Печенье",433 кКал,"11,8 г","13,2 г","66,9 г"
"Детское питание, Печенье для прорезывания зубов",407 кКал,"7,97 г","9,27 г","66,58 г"
"Детское питание, Печенье, детское, фруктовое",435 кКал,"6,8 г","12,6 г","70,3 г"
"Детское питание, Печенье, с марантой",424 кКал,"7,6 г",10 г,"75,2 г"
"Детское питание, Равиоли, с сырной начинкой, с томатным соусом",99 кКал,"3,6 г","2,2 г","16,2 г"
"Детское питание, Рис с яблоками, сухой",396 кКал,"6,7 г","2,4 г","83,89 г"
"Детское питание, Сливы, бананы и рис, пюре",57 кКал,"1,1 г","0,3 г","11,4 г"
"Детское питание, Смесь фруктов йогурт, пюре",75 кКал,"0,8 г","0,8 г","15,83 г"
"Детское питание, Смесь фруктовых соков с низкожирным йогуртом",74 кКал,"2,4 г","0,8 г","14,28 г"
"Детское питание, Сок банана, с маложирный йогуртом",86 кКал,"2,5 г","0,8 г","17,14 г"
"Детское питание, Сок, апельсин и виноград",46 кКал,"0,1 г","0,2 г","11,24 г"
"Детское питание, Сок, апельсиновый",45 кКал,"0,6 г","0,3 г","10,1 г"
