Продукт,Калорийность,Белки,Жиры,Углеводы
Сосиски Венские [Черкизово],239 кКал,11 г,19 г,6 г
Сосиски Докторские [Черкизово],204 кКал,"10,5 г",18 г,0 г
Сосиски Докторские Пмо [Черкизово],225 кКал,10 г,17 г,8 г
Сосиски Классические со Свининой ПМО [Черкизово],193 кКал,11 г,13 г,8 г
Сосиски Копчёные по-Черкизовски [Черкизово],226 кКал,11 г,18 г,5 г
Сосиски Кремлёвские [Черкизово],248 кКал,12 г,20 г,5 г
Сосиски Куриные [Черкизово],180 кКал,12 г,12 г,6 г
Сосиски Молочные [Черкизово],296 кКал,11 г,28 г,0 г
Сосиски Молочные Гост [Черкизово],296 кКал,11 г,28 г,0 г
Сосиски Молочные Оригинальные [Черкизово],176 кКал,10 г,12 г,7 г
Сосиски Молочные по-Черкизовски [Черкизово],249 кКал,10 г,21 г,5 г
Сосиски Мясные по-Черкизовски [Черкизово],287 кКал,12 г,25 г,"3,5 г"
Сосиски Особенные с Говядиной [Черкизово],225 кКал,11 г,17 г,7 г
Сосиски Сливочные [Черкизово],211 кКал,10 г,19 г,0 г
Сосиски Сливочные по-Черкизовски [Черкизово],249 кКал,10 г,21 г,5 г
Сосиски Фермерские [Черкизово],187 кКал,"9,5 г",13 г,8 г
Стейк из Корейки [Черкизово],143 кКал,20 г,7 г,0 г
Стейк из Шейки в Сливочно-Чесночном Маринаде [Черкизово],256 кКал,17 г,20 г,2 г
Стейк из Шейки Свиной [Черкизово],290 кКал,14 г,26 г,0 г
Стейк Свиной на Косточке Чалагач [Черкизово],175 кКал,19 г,11 г,0 г
Суджук Армянский с Коньяком [Черкизово],549 кКал,27 г,49 г,0 г
Уши Свиные с Чесноком [Черкизово],219 кКал,19 г,15 г,2 г
Фарш Говяжий [Черкизово],230 кКал,17 г,18 г,0 г
Фарш Деревенский [Черкизово],290 кКал,14 г,26 г,0 г
Фарш Домашний [Черкизово],303 кКал,15 г,27 г,0 г
Фарш Свиной [Черкизово],363 кКал,12 г,35 г,0 г
Фермерская Корейка [Черкизово],121 кКал,15 г,5 г,4 г
Филе Малое Грудки Индейки [Черкизово],130 кКал,"22,5 г",4 г,0 г
Фрикадельки Домашние [Черкизово],363 кКал,12 г,35 г,0 г
Фрикадельки Классические [Черкизово],144 кКал,17 г,8 г,1 г
Фрикадельки Классические из Говядины [Черкизово],218 кКал,13 г,18 г,1 г
Шашлык из Вырезки Свиной [Черкизово],138 кКал,20 г,6 г,1 г
Шейка Брюссельская [Черкизово],230 кКал,"18,5 г","16,5 г",2 г
Шейка в Маринаде для Запекания [Черкизово],379 кКал,14 г,35 г,2 г
Шейка Парижская [Черкизово],180 кКал,"14,5 г",13 г,2 г
Шейка Свиная [Черкизово],290 кКал,14 г,26 г,0 г
Шейка Свиная в Маринаде [Черкизово],379 кКал,14 г,35 г,2 г
Шницель в Маринаде [Черкизово],311 кКал,15 г,27 г,2 г
Шницель Свиной Охлажденный [Черкизово],130 кКал,19 г,6 г,0 г
Эскалоп в Маринаде [Черкизово],301 кКал,17 г,25 г,2 г
Эскалоп Свиной Охлажденный [Черкизово],217 кКал,16 г,17 г,0 г
Эскалоп Сочный с Пряными Травами [Черкизово],125 кКал,20 г,5 г,0 г
[
    {
        "Title": "Азу из Мяса Индейки [Черкизово]",
        "Calories": "220 кКал",
        "Proteins": "10 г",
        "Fats": "20 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Ассорти Сырокопченых Колбас [Черкизово]",
        "Calories": "513 кКал",
        "Proteins": "22 г",
        "Fats": "45 г",
        "Urglevodi": "5 г"
    },
    {
        "Title": "Балык из Куриных Грудок [Черкизово]",
        "Calories": "115 кКал",
        "Proteins": "18 г",
        "Fats": "3 г",
        "Urglevodi": "4 г"
    },
    {
        "Title": "Бастурма из Индейки [Черкизово]",
        "Calories": "220 кКал",
        "Proteins": "46 г",
        "Fats": "3,5 г",
        "Urglevodi": "1 г"
    },
    {
        "Title": "Бекон по-Английски Охлажденный [Черкизово]",
        "Calories": "353 кКал",
        "Proteins": "14 г",
        "Fats": "33 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Бекон по-Английски Свиной [Черкизово]",
        "Calories": "353 кКал",
        "Proteins": "14 г",
        "Fats": "35 г",
        "Urglevodi": "0 г"
    },
    {
        "Title": "Бекон Столичный Сырокопчёный [Черкизово]",
        "Calories": "378 кКал",
        "Proteins": "13,5 г",
        "Fats": "36 г",
        "Urglevodi": "0 г"
    },
    {
