Продукт,Калорийность,Белки,Жиры,Углеводы
Фасоль Зелёная Тонкая на Пару [Бондюэль],31 кКал,"1,7 г","0,3 г","3,7 г"
Фасоль Красная Классическая [Бондюэль],87 кКал,"5,3 г","0,2 г",16 г
Фасоль Красная на Пару [Бондюэль],111 кКал,"8,3 г",0 г,"15,2 г"
Фасоль Стручковая Зеленая Нарезанная [Бондюэль],30 кКал,4 г,"0,3 г",4 г
Фасулье [Бондюэль],44 кКал,"2,2 г","0,4 г",7 г
Царская Овощная Смесь [Бондюэль],33 кКал,"2,2 г","0,2 г","5,7 г"
Цветная Капуста [Бондюэль],23 кКал,"2,2 г","0,1 г",5 г
Цветная капуста замороженная [Бондюэль],14 кКал,"1,6 г","0,2 г","3,9 г"
Чечевица консервированная [Бондюэль],110 кКал,"8,6 г","0,6 г","17,5 г"
Чечевица на Пару [Бондюэль],107 кКал,"8,5 г","0,7 г","14,2 г"
Шампиньоны [Бондюэль],49 кКал,"2,6 г","0,5 г","6,8 г"
Шампиньоны Маринованные [Бондюэль],47 кКал,"2,3 г","0,5 г","7,2 г"
Шампиньоны по-Нормандски [Бондюэль],69 кКал,2 г,"4,9 г","2,5 г"
Шампиньоны Резаные [Бондюэль],19 кКал,"2,2 г","0,4 г","0,6 г"
Шампиньоны резаные замороженные [Бондюэль],22 кКал,"2,4 г",0 г,"3,7 г"
Шампиньоны Целые [Бондюэль],16 кКал,"2,3 г","0,5 г","0,5 г"
Шпинат в листьях [Бондюэль],30 кКал,"3,6 г","0,5 г","2,7 г"
Шпинат в листьях консервированный [Бондюэль],22 кКал,"2,8 г","0,4 г","1,8 г"
Шпинат в листьях порционный [Бондюэль],27 кКал,"3,7 г","0,5 г",2 г
Шпинат рубленый в галетах [Бондюэль],27 кКал,"2,8 г","0,7 г","2,5 г"
[
    {
        "Title": "Ассорти из фасоли с ананасами в соусе Карри [Бондюэль]",
        "Calories": "62 кКал",
        "Proteins": "3,8 г",
        "Fats": "1,1 г",
        "Urglevodi": "9,3 г"
    },
    {
        "Title": "Ассорти из цветной капусты, романеско и брокколи [Бондюэль]",
        "Calories": "66 кКал",
        "Proteins": "1,8 г",
        "Fats": "2,7 г",
        "Urglevodi": "8,6 г"
    },
    {
        "Title": "Баклажаны Гриль [Бондюэль]",
        "Calories": "43 кКал",
        "Proteins": "2 г",
        "Fats": "0,3 г",
        "Urglevodi": "5,6 г"
    },
    {
        "Title": "Баклажаны по-Тоскански [Бондюэль]",
        "Calories": "100 кКал",
        "Proteins": "1,2 г",
        "Fats": "7,2 г",
        "Urglevodi": "5,8 г"
    },
    {
        "Title": "Белая Фасоль [Бондюэль]",
        "Calories": "66 кКал",
        "Proteins": "7 г",
        "Fats": "0,4 г",
        "Urglevodi": "6 г"
    },
    {
        "Title": "Белая Фасоль в Пряном Карри [Бондюэль]",
        "Calories": "100 кКал",
        "Proteins": "4 г",
        "Fats": "7,5 г",
        "Urglevodi": "3,1 г"
    },
    {
        "Title": "Белая Фасоль в Томатном Соусе \"Пикантная\" [Бондюэль]",
        "Calories": "124 кКал",
        "Proteins": "5,8 г",
        "Fats": "2,8 г",
        "Urglevodi": "19 г"
    },
    {
        "Title": "Белая Фасоль в Томатном Соусе [Бондюэль]",
        "Calories": "78 кКал",
        "Proteins": "5,5 г",
        "Fats": "0,4 г",
        "Urglevodi": "13,2 г"
    },
    {
        "Title": "Белая фасоль консервированная [Бондюэль]",
