Продукт,Калорийность,Белки,Жиры,Углеводы
Слойка с Яблоком [Пятерочка],290 кКал,"3,5 г",13 г,39 г
Слойка со Смородиной [Пятерочка],347 кКал,5 г,17 г,44 г
Сметана [Пятерочка],160 кКал,"2,6 г",15 г,"3,6 г"
Сок [Пятерочка],45 кКал,0 г,0 г,11 г
Сочень с Творогом [Пятерочка],240 кКал,9 г,7 г,34 г
Сухофрукты и Орехи [Пятерочка],590 кКал,"13,5 г","46,1 г","29,4 г"
Сыр Гауда 45% [Пятерочка],338 кКал,26 г,26 г,0 г
Сыр Голландский Красная Цена [Пятерочка],332 кКал,"26,3 г","25,2 г",0 г
Сыр по-Российски Классический [Пятерочка],322 кКал,23 г,28 г,0 г
Сыр Пошехонский [Пятерочка],320 кКал,"24,6 г","25,2 г",0 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Сыр Сливочный Город Сыра [Пятерочка],343 кКал,9 г,"30,8 г","7,5 г"
"Сыр Творожный ""Свежий"" [Пятерочка]",122 кКал,11 г,7 г,"3,8 г"
Сыр Тильзитер [Пятерочка],337 кКал,25 г,24 г,0 г
Сыр Тильзитер Liebendorf [Пятерочка],320 кКал,23 г,25 г,0 г
Сыр Топленое Молоко [Пятерочка],353 кКал,"24,2 г","24,3 г",0 г
Сырники [Пятерочка],209 кКал,"18,5 г","5,7 г","21,4 г"
Сырники из Творога Жареные Охлажденные [Пятерочка],214 кКал,13 г,8 г,"22,5 г"
Сырный Продукт [Пятерочка],360 кКал,23 г,28 г,0 г
Сырный Продукт Российский Классический [Пятерочка],323 кКал,"22,8 г","25,8 г",0 г
Сырок Творожный [Пятерочка],363 кКал,10 г,23 г,29 г
Тарталетки для Икры [Пятерочка],480 кКал,"7,5 г",25 г,49 г
"Творог 0,5% [Пятерочка]",90 кКал,18 г,"0,5 г","3,3 г"
"Творог 1,7% [Пятерочка]",85 кКал,18 г,"1,7 г","3,3 г"
