Продукт,Калорийность,Белки,Жиры,Углеводы
"Картофельные котлеты, запеченные под соусом грибным или сметанным соусом","228,9 кКал","4,1 г",19 г,11 г
Картофельные лепешки (национальное блюдо республики Коми),"182,7 кКал","4,7 г","7,2 г","26,5 г"
Картофельные оладьи с сыром,178 кКал,"5,4 г","11,6 г","13,8 г"
Картофельные оладьи со свежей капустой,"185,3 кКал","3,7 г","13,5 г",13 г
Картофельный хворост,"227,9 кКал","5,3 г","11,5 г","27,5 г"
Кезан-кебаб,"128,3 кКал","5,5 г","8,5 г",8 г
Кильки с картофельным салатом и яйцом,"114,6 кКал","6,9 г","6,1 г","8,6 г"
Киприана,"294,3 кКал","15,6 г","24,9 г","2,1 г"
Кисло-сладкая капуста,"75,7 кКал","1,5 г","5,3 г",6 г
Кольраби с томатным соусом,"80,6 кКал","4,9 г","4,6 г","5,3 г"
"Кольраби, тушенная с морковью","65,6 кКал","3,5 г","4,1 г","3,9 г"
Корнетики с муссом ветчины,"287,1 кКал","18,5 г","23,3 г","0,9 г"
"Котлета ""Аленушкина загадка""",263 кКал,"8,8 г","24,8 г","1,3 г"
Котлетки по-приморски,"151,9 кКал",13 г,"8,8 г","5,6 г"
Котлеты,"227,4 кКал","10,1 г","19,4 г","3,3 г"
"Котлеты ""Централь""","203,1 кКал","10,9 г","15,5 г","5,4 г"
Котлеты гороховые,236 кКал,"13,3 г","10,4 г","23,7 г"
Котлеты из брюквы,"99,3 кКал","3,1 г","5,6 г","9,6 г"
Котлеты из кабачков с творогом,"122,5 кКал",5 г,"7,9 г","8,3 г"
Котлеты из овощей,"187,6 кКал","3,3 г","13,3 г","14,5 г"
Котлеты из свинины по-сарански (мордовское национальное блюдо),"571,6 кКал","14,2 г","52,9 г","10,4 г"
"Котлеты из филе птицы или дичи, панированные жареные","403,7 кКал","25,1 г","20,4 г",32 г
Котлеты или биточки рыбные,"168,1 кКал","8,1 г","8,4 г","16,1 г"
Котлеты капустно-морковные,198 кКал,"4,5 г","14,1 г","14,2 г"
Котлеты капустные,191 кКал,"4,9 г","13,8 г","12,7 г"
Котлеты картофельные,"189,2 кКал","3,7 г","12,9 г","15,6 г"
Котлеты морковные,"206,2 кКал","4,1 г","14,5 г","15,9 г"
Котлеты мясо-картофельные по-хлыновски,"342,9 кКал","20,8 г","26,1 г","6,7 г"
Котлеты натуральные,"438,2 кКал",29 г,"35,8 г","0,04 г"
Котлеты натуральные из филе птицы или дичи под соусом паровым с грибами,"312,2 кКал","13,3 г",16 г,"30,6 г"
"Котлеты натуральные из филе птицы, дичи или кролика с гарниром","301,7 кКал","11,7 г","22,8 г","13,1 г"
Котлеты натуральные паровые,"209,8 кКал","8,8 г","19,4 г","0,008 г"
Котлеты натуральные рубленые,"490,5 кКал",23 г,"44,3 г",0 г
Котлеты отбивные,"505,2 кКал","18,2 г","43,5 г","10,7 г"
Котлеты по-гречески,"178,1 кКал","6,4 г","6,7 г","24,6 г"
Котлеты по-киевски,"444,7 кКал","21,6 г","27,8 г","28,8 г"
Котлеты полтавские (украинское национальное блюдо),"465,7 кКал","27,8 г","36,7 г","6,3 г"
"Котлеты рубленые из кур, кролика, запеченные с соусом молочным","301,8 кКал","17,7 г","15,8 г","23,7 г"
"Котлеты рубленые из птицы, дичи или кролика с гарниром","328,4 кКал","12,3 г","12,9 г","43,6 г"
"Котлеты рубленые, запеченные с молочным соусом","285,3 кКал","16,2 г",21 г,"8,4 г"
Котлеты рыбные любительские,"148,2 кКал","10,5 г","8,5 г",8 г
Котлеты рыбные с капустой и морковью,"288,7 кКал","20,8 г","20,9 г","4,6 г"
Котлеты рыбные с омлетом и сыром,"322,6 кКал",15 г,"26,2 г","7,3 г"
Котлеты свекольные,"153,5 кКал","3,8 г",9 г,"15,2 г"
"Котлеты, биточки из рыбы и пасты ""Океан""",362 кКал,"11,7 г",10 г,"59,9 г"
"Котлеты, биточки, шницели","317,7 кКал","21,3 г","20,9 г","11,8 г"
Крабы с яйцом,"251,2 кКал","16,7 г","19,9 г","1,3 г"
Красная капуста,73 кКал,"1,1 г","5,2 г","5,9 г"
"Краснокочанная капуста, тушенная с яблоками","44,1 кКал","0,6 г",1 г,"8,7 г"
Креветки с соусом,"211,3 кКал","26,5 г","7,5 г","10,1 г"
"Креветки, запеченные под сметанным или молочным соусом","175,7 кКал","15,1 г","7,8 г","11,9 г"
Крокеты картофельные,"187,3 кКал","4,2 г",13 г,"14,2 г"
Крокеты картофельные,"207,5 кКал","4,3 г","13,6 г","18,2 г"
Крокеты картофельные,"239,7 кКал","4,3 г","20,2 г","10,9 г"
Кролик в маринаде,"194,5 кКал","15,7 г","11,5 г","7,6 г"
Кролик по-любительски,455 кКал,"15,4 г",26 г,"42,3 г"
Кролик под ореховым соусом,"205,4 кКал","8,1 г","17,1 г","5,2 г"
Курзе с зеленью (пельмени с фаршем из зелени - дагестанское национальное блюдо),"162,8 кКал","6,2 г","5,1 г","24,7 г"
"Куриное филе, фаршированное грибами","226,2 кКал","13,4 г",19 г,"0,5 г"
Куриные грудки с соусом из грецких орехов,"227,2 кКал","11,8 г","15,6 г","10,6 г"
Куриные колбаски с жареным картофелем,"141,9 кКал","6,4 г","7,8 г","12,3 г"
Курица по-купечески,"127,9 кКал",7 г,"9,9 г","2,8 г"
Курица почти в сметане,"338,8 кКал","7,3 г","33,6 г","1,9 г"
Курица фаршированная (галантин) или поросенок фаршированный,"325,3 кКал","12,5 г","27,6 г","7,1 г"
"Курица, жаренная целиком","133,8 кКал","8,5 г","9,3 г","4,3 г"
