Продукт,Калорийность,Белки,Жиры,Углеводы
"Овсяная каша быстрого приготовления (растворимая) с корицей и специями, сухая",369 кКал,"9,53 г","4,84 г","68,08 г"
"Овсяная каша быстрого приготовления (растворимая), приготовленная на воде",68 кКал,"2,37 г","1,36 г","9,97 г"
"Овсяная каша быстрого приготовления (растворимая), с кленовым и коричневым сахаром, сухая",386 кКал,"9,25 г","4,73 г","69,47 г"
"Овсяная каша быстрого приготовления (растворимая), сухая",362 кКал,"11,92 г","6,9 г","59,52 г"
"Овсяная каша жидкая, приготовленная на воде, без соли",71 кКал,"2,54 г","1,52 г","10,3 г"
"Овсяная каша жидкая, приготовленная на воде, с солью",71 кКал,"2,54 г","1,52 г","10,3 г"
"Овсяная каша из хлопьев «Геркулес», по 1-280",105 кКал,"2,4 г",4 г,"14,8 г"
"Овсяная каша, по 1-280",109 кКал,"2,6 г","4,1 г","15,5 г"
Овсяная крупа,379 кКал,"13,15 г","6,52 г","57,6 г"
Овсяная крупа,342 кКал,"12,3 г","6,1 г","59,5 г"
Овсяная мука,369 кКал,13 г,"6,8 г","64,9 г"
Овсяная мука с отрубями,404 кКал,"14,66 г","9,12 г","59,2 г"
"Овсянка быстрорастворимая с корицей, сухая (произв: The Quaker Oats, Co.)",369 кКал,"10,39 г","5,1 г","66,32 г"
Овсяные отруби,246 кКал,"17,3 г","7,03 г","50,82 г"
"Овсяные отруби, приготовленные",40 кКал,"3,21 г","0,86 г","8,84 г"
"Овсяные хлопья ""геркулес""",352 кКал,"12,3 г","6,2 г","61,8 г"
"Паста (макароны, спагетти)  из кукурузной муки, безглютеновые, приготовленные",126 кКал,"2,63 г","0,73 г","23,11 г"
"Паста (макароны, спагетти) без яиц, домашняя, приготовленная",124 кКал,"4,37 г","0,98 г","25,12 г"
"Паста (макароны, спагетти) из коричневой рисовой муки, безглютеновая, приготовленная",138 кКал,"3,46 г","1,67 г","30,5 г"
"Паста (макароны, спагетти) из кукурузной и рисовой муки, безглютеновая, приготовленная",179 кКал,"3,2 г",1 г,"36,65 г"
"Паста (макароны, спагетти) из кукурузной муки и муки киноа, безглютеновая, приготовленная",152 кКал,"3,23 г","2,07 г","27,81 г"
"Паста (макароны, спагетти) из кукурузной муки, безглютеновые",357 кКал,"7,46 г","2,08 г","68,26 г"
"Паста (макароны, спагетти) из рисовой муки с экстрактом из рисовых отрубей, безглютеновая, приготовленная",200 кКал,"4,21 г","1,7 г","38,85 г"
"Паста (макароны, спагетти) из цельнозерновой муки, приготовленная",149 кКал,"5,99 г","1,71 г","26,17 г"
"Паста (макароны, спагетти) из цельнозерновой муки, сухая",352 кКал,"13,87 г","2,93 г","64,17 г"
"Паста (макароны, спагетти) яичная, домашняя, приготовленная",130 кКал,"5,28 г","1,74 г","23,54 г"
"Паста (макароны, спагетти), обогащенные, приготовленные без соли",158 кКал,"5,8 г","0,93 г","29,06 г"
"Паста (макароны, спагетти), обогащенные, приготовленные с солью",157 кКал,"5,8 г","0,93 г","28,79 г"
"Паста (макароны, спагетти), обогащенные, сухие",371 кКал,"13,04 г","1,51 г","71,47 г"
"Паста (макароны, спагетти), приготовленная без соли",158 кКал,"5,8 г","0,93 г","29,06 г"
"Паста (макароны, спагетти), приготовленная с солью",157 кКал,"5,8 г","0,93 г","28,79 г"
"Паста (макароны, спагетти), свежезамороженная, неприготовленная",288 кКал,"11,31 г","2,3 г","54,73 г"
"Паста (макароны, спагетти), свежезамороженная, приготовленная",131 кКал,"5,15 г","1,05 г","24,93 г"
"Паста (макароны, спагетти), свежезамороженная, со шпинатом, неприготовленная",289 кКал,"11,26 г","2,1 г","55,72 г"
"Паста (макароны, спагетти), свежезамороженная, со шпинатом, приготовленная",130 кКал,"5,06 г","0,94 г","25,04 г"
"Паста (макароны, спагетти), сухая",371 кКал,"13,04 г","1,51 г","71,47 г"
Перловая каша по 1-270,135 кКал,"2,9 г","3,5 г","22,9 г"
Перловая крупа,315 кКал,"9,3 г","1,1 г","66,9 г"
Перловая крупа,352 кКал,"9,91 г","1,16 г","62,12 г"
"Перловая крупа, приготовленная",123 кКал,"2,26 г","0,44 г","24,42 г"
"Полба (спельта), неприготовленная",338 кКал,"14,57 г","2,43 г","59,49 г"
"Полба (спельта), приготовленная",127 кКал,"5,5 г","0,85 г","22,54 г"
"Просо, зерно продовольственное",298 кКал,"11,2 г","3,9 г","54,6 г"
Пудинг рисовый по 1-292,202 кКал,"5,6 г","5,7 г",32 г
Пшеница мягкая белозёрная,340 кКал,"10,69 г","1,99 г","62,66 г"
Пшеница мягкая краснозёрная озимая,331 кКал,"10,35 г","1,56 г","61,74 г"
"Пшеница мягкая, зерно",305 кКал,"11,8 г","2,2 г","59,5 г"
Пшеница проросшая,198 кКал,"7,49 г","1,27 г","41,43 г"
Пшеница стекловидная белозёрная,342 кКал,"11,31 г","1,71 г","63,7 г"
Пшеница стекловидная краснозёрная озимая,327 кКал,"12,61 г","1,54 г","58,98 г"
Пшеница стекловидная краснозёрная яровая,329 кКал,"15,4 г","1,92 г","55,83 г"
"Пшеница твердая, зерно",339 кКал,"13,68 г","2,47 г","71,13 г"
"Пшеница твердая, зерно",304 кКал,13 г,"2,5 г","57,5 г"
"Пшеничная каша жидкая, проготовленная на воде, без соли",62 кКал,2 г,"0,4 г","12,1 г"
"Пшеничная каша жидкая, проготовленная на воде, с солью",62 кКал,2 г,"0,4 г","12,1 г"
"Пшеничная каша рассыпчатая из крупы «Полтавская», по 1-272",153 кКал,"4,4 г","3,6 г","25,7 г"
Пшеничная клейковина (глютен),370 кКал,"75,16 г","1,85 г","13,19 г"
Пшеничная крупа,342 кКал,"11,2 г",2 г,"65,7 г"
"Пшеничная крупа ""Артек""",329 кКал,11 г,"1,2 г","68,5 г"
"Пшеничная крупа ""Полтавская""",329 кКал,"11,5 г","1,3 г","67,9 г"
Пшеничная мука высшего сорта из мягкой пшеницы,334 кКал,"10,3 г","1,1 г","70,6 г"
"Пшеничная мука высшего сорта, 10% белка, неотбеленная, обогащенная",366 кКал,"9,71 г","1,48 г","73,82 г"
"Пшеничная мука высшего сорта, 10% белка, отбеленная, необогащенная",366 кКал,"9,71 г","1,48 г","73,82 г"
"Пшеничная мука высшего сорта, 10% белка, отбеленная, обогащенная",366 кКал,"9,71 г","1,48 г","73,82 г"
"Пшеничная мука высшего сорта, 11,5% белка, неотбеленная, обогащенная",363 кКал,"11,5 г","1,45 г","71,41 г"
"Пшеничная мука высшего сорта, 11,5% белка, отбеленная, необогащенная",363 кКал,"11,5 г","1,45 г","71,41 г"
"Пшеничная мука высшего сорта, 11,5% белка, отбеленная, обогащенная",363 кКал,"11,5 г","1,45 г","71,41 г"
"Пшеничная мука высшего сорта, 13% белка, отбеленная, необогащенная",362 кКал,"13,07 г","1,38 г","69,8 г"
"Пшеничная мука высшего сорта, 13% белка, отбеленная, обогащенная",362 кКал,"13,07 г","1,38 г","69,8 г"
"Пшеничная мука высшего сорта, 15% белка, отбеленная, необогащенная",362 кКал,"15,33 г","1,41 г","67,48 г"
"Пшеничная мука высшего сорта, 15% белка, отбеленная, обогащенная",362 кКал,"15,33 г","1,41 г","67,48 г"
"Пшеничная мука высшего сорта, 9% белка, отбеленная, необогащенная",367 кКал,"8,89 г","1,43 г","74,92 г"
"Пшеничная мука высшего сорта, 9% белка, отбеленная, обогащенная",367 кКал,"8,89 г","1,43 г","77,32 г"
"Пшеничная мука высшего сорта, кондитерская, обогащенная",362 кКал,"8,2 г","0,86 г","76,33 г"
"Пшеничная мука высшего сорта, смесь для тортильи, обогащенная",405 кКал,"9,66 г","10,63 г","67,14 г"
"Пшеничная мука высшего сорта, универсальная, необогащенная",364 кКал,"10,33 г","0,98 г","73,61 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная кальцием",364 кКал,"10,33 г","0,98 г","73,61 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная, неотбеленная",364 кКал,"10,33 г","0,98 г","73,61 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная, отбеленная",364 кКал,"10,33 г","0,98 г","73,61 г"
"Пшеничная мука высшего сорта, универсальная, обогащенная, самоподнимающаяся",354 кКал,"9,89 г","0,97 г","71,52 г"
"Пшеничная мука высшего сорта, хлебопекарная, обогащенная",361 кКал,"11,98 г","1,66 г","70,13 г"
Пшеничная мука цельнозерновая,340 кКал,"13,21 г","2,5 г","61,27 г"
Пшеничная мука цельнозерновая из мягкой пшеницы,332 кКал,"9,61 г","1,95 г","61,38 г"
"Пшеничная мука, второго сорта",324 кКал,"11,7 г","1,81 г","63,7 г"
"Пшеничная мука, высшего сорта",334 кКал,"10,8 г","1,3 г","69,9 г"
"Пшеничная мука, высшего сорта, витаминизированная",334 кКал,"10,3 г","1,1 г","68,9 г"
"Пшеничная мука, обойная",312 кКал,"11,5 г","2,2 г","61,5 г"
"Пшеничная мука, первого сорта",329 кКал,"11,1 г","1,5 г","67,8 г"
"Пшеничная мука, первого сорта, витаминизированная",331 кКал,"10,6 г","1,3 г","67,6 г"
"Пшеничная мука, хлебопекарная, необогащенная",361 кКал,"11,98 г","1,66 г","70,13 г"
"Пшеничные зародыши, сырые",360 кКал,"23,15 г","9,72 г","38,6 г"
Пшеничные отруби,165 кКал,16 г,"3,8 г","16,6 г"
"Пшеничные отруби, сырые",216 кКал,"15,55 г","4,25 г","21,71 г"
Пшенная каша по 1-278,109 кКал,"2,8 г","3,4 г","16,8 г"
"Пшенная крупа, пшено шлифованное",342 кКал,"11,5 г","3,3 г","66,5 г"
Пшенная мука,382 кКал,"10,75 г","4,25 г","71,62 г"
Пшено (просо) воздушное,354 кКал,13 г,"3,4 г","77,3 г"
"Пшено, приготовленное",119 кКал,"3,51 г",1 г,"22,37 г"
"Пшено, сырое",378 кКал,"11,02 г","4,22 г","64,35 г"
"Ржаная мука, обдирная",298 кКал,"8,9 г","1,7 г","61,8 г"
"Ржаная мука, обдирная",349 кКал,"10,88 г","1,52 г","63,63 г"
"Ржаная мука, обойная",294 кКал,"10,7 г","1,9 г","58,5 г"
"Ржаная мука, обойная",325 кКал,"15,91 г","2,22 г","44,83 г"
"Ржаная мука, сеяная",305 кКал,"6,9 г","1,4 г","66,3 г"
"Ржаная мука, сеяная",357 кКал,"9,82 г","1,33 г","68,68 г"
Ржаные отруби,"114,2 кКал","12,2 г","3,4 г","8,7 г"
"Рис белый длиннозерный, быстроразваривающийся, обогащенный, приготовленный",124 кКал,"2,18 г","0,5 г","26,16 г"
"Рис белый длиннозерный, быстроразваривающийся, обогащенный, сухой",380 кКал,"7,82 г","0,94 г","80,42 г"
"Рис белый длиннозерный, обогащенный, приготовленный",130 кКал,"2,69 г","0,28 г","27,77 г"
"Рис белый длиннозерный, обогащенный, приготовленный с солью",130 кКал,"2,69 г","0,28 г","27,77 г"
"Рис белый длиннозерный, обогащенный, сухой",365 кКал,"7,13 г","0,66 г","78,65 г"
"Рис белый длиннозерный, приготовленный без соли",130 кКал,"2,69 г","0,28 г","27,77 г"
"Рис белый длиннозерный, приготовленный с солью",130 кКал,"2,69 г","0,28 г","27,77 г"
"Рис белый длиннозерный, пропаренный, обогащенный, приготовленный",123 кКал,"2,91 г","0,37 г","25,15 г"
"Рис белый длиннозерный, пропаренный, обогащенный, сухой",374 кКал,"7,51 г","1,03 г","79,09 г"
"Рис белый длиннозерный, пропаренный, приготовленный",123 кКал,"2,91 г","0,37 г","25,15 г"
"Рис белый длиннозерный, сухой",365 кКал,"7,13 г","0,66 г","78,65 г"
"Рис белый длиннозерный, сухой",374 кКал,"7,51 г","1,03 г","79,09 г"
"Рис белый клейкий (азиатский), приготовленный",97 кКал,"2,02 г","0,19 г","20,09 г"
"Рис белый клейкий (азиатский), сухой",370 кКал,"6,81 г","0,55 г","78,88 г"
"Рис белый короткозерный, обогащенный, приготовленный",130 кКал,"2,36 г","0,19 г","28,73 г"
"Рис белый короткозерный, обогащенный, сухой",358 кКал,"6,5 г","0,52 г","76,35 г"
"Рис белый короткозерный, приготовленный",130 кКал,"2,36 г","0,19 г","28,73 г"
"Рис белый короткозерный, сухой",358 кКал,"6,5 г","0,52 г","79,15 г"
Рис белый приготовленный на пару (Китайская кухня),151 кКал,"3,2 г","0,27 г","32,98 г"
"Рис белый среднезерный, обогащенный, приготовленный",130 кКал,"2,38 г","0,21 г","28,29 г"
"Рис белый среднезерный, обогащенный, сухой",360 кКал,"6,61 г","0,58 г","77,94 г"
"Рис белый среднезерный, приготовленный",130 кКал,"2,38 г","0,21 г","28,59 г"
"Рис белый среднезерный, сухой",360 кКал,"6,61 г","0,58 г","79,34 г"
"Рис белый, крупа рисовая",333 кКал,7 г,1 г,74 г
"Рис дикий (черный, индейский рис, цициания), приготовленный",101 кКал,"3,99 г","0,34 г","19,54 г"
"Рис дикий (черный, индейский рис, цициания), сухой",357 кКал,"14,73 г","1,08 г","68,7 г"
"Рис желтый со специями, сухая смесь",343 кКал,"7,02 г","1,75 г","72,88 г"
"Рис коричневый (нешлифованный) длиннозерный, приготовленный",123 кКал,"2,74 г","0,97 г","23,98 г"
"Рис коричневый (нешлифованный) длиннозерный, сухой",367 кКал,"7,54 г","3,2 г","72,65 г"
"Рис коричневый (нешлифованный) среднезерный, приготовленный",112 кКал,"2,32 г","0,83 г","21,71 г"
"Рис коричневый (нешлифованный) среднезерный, сухой",362 кКал,"7,5 г","2,68 г","72,77 г"
