Продукт,Калорийность,Белки,Жиры,Углеводы
Картофель по-Деревенски [Ростик'c - KFC],265 кКал,3 г,"17,4 г","24,2 г"
Картофель по-Деревенски Малый [Ростик'c - KFC],212 кКал,"2,4 г","13,9 г","19,4 г"
Картофель Фри [Ростик'c - KFC],276 кКал,"3,8 г","15,5 г","30,1 г"
Картофель Фри Маленькая [Ростик'c - KFC],193 кКал,"2,7 г","10,9 г","21,1 г"
Картофель Фри Малый [Ростик'c - KFC],166 кКал,"3,8 г","15,5 г","30,1 г"
Картофель Фри Стандартный [Ростик'c - KFC],331 кКал,"4,6 г","18,6 г","36,1 г"
Картофельные Кранчи Фри [Ростик'c - KFC],233 кКал,"2,6 г","18,8 г","13,1 г"
Картофельный Хашбраун [Ростик'c - KFC],534 кКал,"2,4 г",52 г,"14,1 г"
Картошка Фри [Ростик'c - KFC],276 кКал,"3,8 г","15,5 г","30,1 г"
Кекс Апельсиновый [Ростик'c - KFC],414 кКал,"4,9 г","22,8 г","47,4 г"
Кекс Шоколадно-Апельсиновый [Ростик'c - KFC],436 кКал,"5,4 г","24,8 г","47,8 г"
Кекс Шоколадно-Апельсиновый [Ростик'c - KFC],131 кКал,"1,6 г","7,4 г","14,3 г"
Кетчуп [Ростик'c - KFC],110 кКал,1 г,"0,1 г",25 г
Классик [Ростик'c - KFC],345 кКал,"17,1 г","13,8 г","38,2 г"
Клубничный Дайкири [Ростик'c - KFC],188 кКал,0 г,0 г,"47,2 г"
"Кофе Американо 0,3 [Ростик'c - KFC]",78 кКал,"0,6 г","1,5 г","15,6 г"
"Кофе Глясе 0,2 [Ростик'c - KFC]",86 кКал,2 г,"2,6 г","13,8 г"
"Кофе Капучино 0,3 [Ростик'c - KFC]",119 кКал,"3,5 г","2,5 г","20,7 г"
"Кофе Капучино без Сахара 0,3 [Ростик'c - KFC]",59 кКал,"3,7 г","2,1 г","5,9 г"
"Кофе Латте 0,3 [Ростик'c - KFC]",157 кКал,"5,8 г","3,9 г","24,5 г"
"Кофе Латте 0,4 [Ростик'c - KFC]",169 кКал,"7,9 г","4,7 г","24,8 г"
Криспи Чипс [Ростик'c - KFC],444 кКал,5 г,"34,3 г","28,9 г"
Крылышки [Ростик'c - KFC],678 кКал,"35,9 г","44,7 г","33,3 г"
Крылья Острые (3) [Ростик'c - KFC],254 кКал,"13,4 г","16,8 г","12,5 г"
Крылья Острые [Ростик'c - KFC],304 кКал,"19,6 г","20,8 г","9,8 г"
Кукуруза [Ростик'c - KFC],104 кКал,"1,8 г","4,2 г","14,9 г"
Куриная Ножка с Соусом Терияки [Ростик'c - KFC],230 кКал,"16,9 г",12 г,14 г
Куриные Крылышки [Ростик'c - KFC],304 кКал,"19,6 г","20,8 г","9,8 г"
КУРИНЫЕ КРЫЛЫШКИ 3 шт/27г (порция 81 гр) [Ростик'c - KFC],"254,3 кКал","13,4 г","16,8 г","12,5 г"
КУРИНЫЕ КРЫЛЫШКИ 5 шт/27г (порция 135 гр) [Ростик'c - KFC],"423,9 кКал","22,4 г","27,9 г","20,8 г"
КУРИНЫЕ КРЫЛЫШКИ 8 шт/27г (порция 216 гр) [Ростик'c - KFC],"678,2 кКал","35,9 г","44,7 г","33,3 г"
Куриные Ножки [Ростик'c - KFC],229 кКал,21 г,"12,7 г","7,7 г"
Куриный Хот-Дог [Ростик'c - KFC],226 кКал,"9,6 г","10,1 г","24,3 г"
КУРИНЫЙ ШАШЛЫК (порция 130 гр) [Ростик'c - KFC],182 кКал,"32,4 г","5,7 г","0,3 г"
Куриный Шашлык [Ростик'c - KFC],182 кКал,"32,4 г","5,7 г","0,3 г"
"Латте 0,4 [Ростик'c - KFC]",47 кКал,"2,2 г","1,3 г","6,9 г"
Лимонад Барбарис [Ростик'c - KFC],50 кКал,0 г,0 г,"12,6 г"
Лимонад Ванильный Дюшес [Ростик'c - KFC],182 кКал,0 г,0 г,"45,5 г"
"ЛОВЕНБРАУ ОРИГИНАЛЬНОЕ 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,0 г,0 г,"14,1 г"
"ЛОВЕНБРАУ ОРИГИНАЛЬНОЕ 0,5л (порция 500 гр) [Ростик'c - KFC]",230 кКал,0 г,0 г,"23,5 г"
Лонгер [Ростик'c - KFC],218 кКал,"12,7 г","6,6 г",27 г
Лонгер BBQ [Ростик'c - KFC],236 кКал,"9,7 г","7,1 г","33,3 г"
ЛОНГЕР оригинальный (порция 117 гр) [Ростик'c - KFC],296 кКал,"12,9 г",13 г,"31,9 г"
Лонгер Оригинальный [Ростик'c - KFC],296 кКал,"12,9 г",13 г,"31,9 г"
ЛОНГЕР острый (порция 113 гр) [Ростик'c - KFC],"248,6 кКал","12,3 г","6,4 г","35,3 г"
Лонгер Острый [Ростик'c - KFC],249 кКал,"12,3 г","6,4 г","35,3 г"
Лонгер Чиз [Ростик'c - KFC],268 кКал,"12,9 г","12,3 г","26,5 г"
Маффин Тоффи [Ростик'c - KFC],475 кКал,"5,5 г","24,4 г",58 г
Микс Бокс [Ростик'c - KFC],409 кКал,"29,1 г","23,1 г","21,2 г"
"Милк Шейк Шоколадно-Ореховый 0,25 [Ростик'c - KFC]",215 кКал,"4,8 г","4,5 г",39 г
Милкшейк  Лесная Клубника [Ростик'c - KFC],143 кКал,"3,4 г","3,5 г","27,2 г"
Милкшейк Ваниль [Ростик'c - KFC],76 кКал,"1,9 г","1,8 г","13,2 г"
Милкшейк Чёрная Смородина [Ростик'c - KFC],92 кКал,"2,2 г","2,1 г",16 г
Милкшейк Шоколадно-Ореховый [Ростик'c - KFC],86 кКал,"1,9 г","1,8 г","15,6 г"
"Милкшейк Шоколадно-Ореховый 0,25 [Ростик'c - KFC]",215 кКал,"4,8 г","4,5 г",39 г
МИНИ ТВИСТЕР оригинальный (порция 104 гр) [Ростик'c - KFC],"267,3 кКал","10,5 г","12,3 г","28,7 г"
Мини Твистер Оригинальный [Ростик'c - KFC],267 кКал,"10,5 г","12,3 г","28,7 г"
