Продукт,Калорийность,Белки,Жиры,Углеводы
"Свинина, задняя рулька, запечённая",232 кКал,"25,96 г","13,42 г",0 г
"Свинина, задняя рулька, постное мясо",119 кКал,"21,66 г","2,95 г",0 г
"Свинина, задняя рулька, постное мясо, запечённая",175 кКал,"28,69 г","5,83 г",0 г
"Свинина, корейка в целом",198 кКал,"19,74 г","12,58 г",0 г
"Свинина, корейка в целом, жареная на огне",242 кКал,"27,32 г","13,92 г",0 г
"Свинина, корейка в целом, запечённая",248 кКал,"27,09 г","14,65 г",0 г
"Свинина, корейка в целом, постное мясо",143 кКал,"21,43 г","5,66 г",0 г
"Свинина, корейка в целом, постное мясо, жареная",204 кКал,"28,57 г","9,12 г",0 г
"Свинина, корейка в целом, постное мясо, жареная на огне",210 кКал,"28,57 г","9,8 г",0 г
"Свинина, корейка в целом, постное мясо, запечённая",209 кКал,"28,62 г","9,63 г",0 г
"Свинина, корейка в целом, тушеная",239 кКал,"27,23 г","13,62 г",0 г
"Свинина, корейка мякоть",384 кКал,"13,7 г","36,5 г",0 г
"Свинина, кострец",133 кКал,"22,49 г","4,05 г",0 г
"Свинина, кострец на кости",168 кКал,"20,48 г","8,96 г",0 г
"Свинина, кострец на кости, жареный на огне",222 кКал,"26,96 г","11,82 г",0 г
"Свинина, кострец на кости, запечённый",230 кКал,"26,64 г","12,87 г",0 г
"Свинина, кострец на кости, постное мясо, жареная на огне",174 кКал,"29,29 г","5,45 г",0 г
"Свинина, кострец на кости, постное мясо, запечённый",204 кКал,"27,78 г","9,44 г",0 г
"Свинина, кострец на кости, постное мясо, тушеный",195 кКал,31 г,"6,9 г",0 г
"Свинина, кострец на кости, тушеный",234 кКал,"28,81 г","12,31 г",0 г
"Свинина, кострец на кости,, постное мясо",129 кКал,"21,65 г","4,02 г",0 г
"Свинина, кострец, жареный на огне",170 кКал,"28,19 г","5,53 г",0 г
"Свинина, кострец, запечённый",192 кКал,"29,62 г","7,32 г",0 г
"Свинина, кострец, постное мясо, жареный на огне",161 кКал,"28,6 г","4,36 г",0 г
"Свинина, кострец, постное мясо, запечённый",178 кКал,"30,39 г","5,31 г",0 г
"Свинина, кострец, постное мясо, сырая",121 кКал,"22,81 г","2,59 г",0 г
"Свинина, кострец, постное мясо, тушеный",163 кКал,"28,75 г","4,5 г",0 г
"Свинина, кострец, тушеный",171 кКал,"28,41 г","5,47 г",0 г
"Свинина, котлетное мясо",421 кКал,"11,4 г","41,7 г",0 г
"Свинина, лопатка бескостная",186 кКал,"17,42 г","12,36 г",0 г
"Свинина, лопатка бескостная, жареная на огне",259 кКал,"25,58 г","16,61 г",0 г
"Свинина, лопатка бескостная, запечённая",269 кКал,"23,11 г","18,86 г",0 г
"Свинина, лопатка бескостная, постное мясо",132 кКал,"18,73 г","5,71 г",0 г
"Свинина, лопатка бескостная, постное мясо, жареная на огне",227 кКал,"26,74 г","12,54 г",0 г
"Свинина, лопатка бескостная, постное мясо, запечённая",232 кКал,"24,21 г","14,3 г",0 г
"Свинина, лопатка бескостная, постное мясо, тушеная",233 кКал,"26,57 г","13,2 г",0 г
"Свинина, лопатка бескостная, тушеная",267 кКал,"25,07 г","17,69 г",0 г
"Свинина, лопаточная часть",325 кКал,"14,7 г","29,4 г",0 г
"Свинина, лопаточная часть",236 кКал,"17,18 г","17,99 г",0 г
"Свинина, лопаточная часть корейки без кости",157 кКал,"20,54 г","7,94 г","0,76 г"
"Свинина, лопаточная часть корейки без кости, жареная на огне",202 кКал,"24,73 г","11,13 г","0,83 г"
"Свинина, лопаточная часть корейки без кости, запечённая",199 кКал,"26,48 г","10,32 г",0 г
"Свинина, лопаточная часть корейки без кости, постное мясо",123 кКал,"21,35 г","3,78 г","0,82 г"
"Свинина, лопаточная часть корейки без кости, постное мясо, жареное на огне",169 кКал,"26,14 г","6,74 г","0,89 г"
"Свинина, лопаточная часть корейки без кости, постное мясо, запеченное",175 кКал,"27,58 г","7,14 г",0 г
"Свинина, лопаточная часть корейки на кости",194 кКал,"19,56 г","12,27 г",0 г
"Свинина, лопаточная часть корейки на кости,  постное мясо",143 кКал,"21,22 г","5,84 г",0 г
"Свинина, лопаточная часть корейки на кости, жареная на огне",231 кКал,"23,72 г","14,35 г",0 г
"Свинина, лопаточная часть корейки на кости, запеченная",254 кКал,"24,29 г","16,71 г",0 г
"Свинина, лопаточная часть корейки на кости, отдельно мясо и жир, жареная на сковороде",256 кКал,"25,02 г","16,56 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, жареная на огне",193 кКал,"24,99 г","9,56 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, жареная на сковороде",222 кКал,"26,38 г","12,14 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, запеченная",217 кКал,"25,7 г","11,89 г",0 г
"Свинина, лопаточная часть корейки на кости, постное мясо, тушеная",222 кКал,"28,02 г","11,29 г",0 г
"Свинина, лопаточная часть корейки на кости, тушеная",255 кКал,"26,54 г","15,71 г",0 г
"Свинина, лопаточная часть, запечённая",292 кКал,"23,28 г","21,39 г",0 г
"Свинина, лопаточная часть, постное мясо",148 кКал,"19,55 г","7,14 г",0 г
"Свинина, лопаточная часть, постное мясо, запечённая",230 кКал,"25,33 г","13,54 г",0 г
"Свинина, маринованная рулька",171 кКал,"19,11 г","10,54 г",0 г
"Свинина, мякоть окорока, тушеная",156 кКал,"31,11 г","2,56 г",0 г
"Свинина, мясо с рёбер средней части",211 кКал,"19,9 г","14,01 г",0 г
"Свинина, мясо с рёбер средней части, жареное на огне",260 кКал,"27,63 г","15,76 г",0 г
"Свинина, мясо с рёбер средней части, жареное на сковороде",256 кКал,"26,81 г","15,71 г",0 г
"Свинина, мясо с рёбер средней части, жареное насковороде.",273 кКал,"25,82 г","18,05 г",0 г
"Свинина, мясо с рёбер средней части, запечённое",252 кКал,"26,99 г","15,15 г",0 г
"Свинина, мясо с рёбер средней части, тушеное",255 кКал,"26,29 г","15,79 г",0 г
"Свинина, нарезаная кусками (ноги, филе, лопатки и ребра), мясо вместе с жиром",211 кКал,"18,22 г","14,79 г",0 г
"Свинина, окорок",333 кКал,15 г,"30,3 г",0 г
"Свинина, окорок в целом",245 кКал,"17,43 г","18,87 г",0 г
"Свинина, окорок в целом, запечённый",273 кКал,"26,83 г","17,61 г",0 г
"Свинина, окорок в целом, постное мясо",136 кКал,"20,48 г","5,41 г",0 г
"Свинина, окорок в целом, постное мясо, запечённый",211 кКал,"29,41 г","9,44 г",0 г
"Свинина, окорок, без костей, мясо с жиром, сырая",113 кКал,"22,88 г","1,71 г",0 г
"Свинина, пашина (брюшина)",518 кКал,"9,34 г","53,01 г",0 г
"Свинина, плечевая часть",193 кКал,"18,71 г","12,51 г",0 г
"Свинина, плечевая часть, запечённая",317 кКал,"23,47 г","24,01 г",0 г
"Свинина, плечевая часть, постное мясо, запечённая",228 кКал,"26,68 г","12,62 г",0 г
"Свинина, плечевая часть, постное мясо, тушеная",194 кКал,"26,76 г","8,87 г",0 г
"Свинина, плечевая часть, тушеная",235 кКал,"24,88 г","14,33 г",0 г
"Свинина, поджарка (из ноги, филе, лопатки и ребрышек)",216 кКал,"18,95 г","14,95 г",0 г
"Свинина, поджарка (из ноги, филе, лопатки и ребрышек), приготовленная",238 кКал,"26,36 г","13,89 г",0 г
"Свинина, поджарка (из окорока, филе и лопатки), постное мясо",134 кКал,"21,2 г","4,86 г",0 г
"Свинина, поджарка(из ноги, филе, лопатки), постное мясо, приготовленная",201 кКал,"27,51 г","9,21 г",0 г
