Продукт,Калорийность,Белки,Жиры,Углеводы
Багет Французский [Ашан],255 кКал,"8,1 г",1 г,"53,3 г"
Багет Французский с Чесночным Маслом [Ашан],321 кКал,7 г,13 г,"43,7 г"
Багет Чико [Ашан],328 кКал,7 г,"12,7 г","46,4 г"
Багет Шпинатный [Ашан],80 кКал,1 г,2 г,14 г
Баклажаны По-Гречески [Ашан],45 кКал,"1,1 г",1 г,"7,8 г"
Баклажаны по-Итальянски [Ашан],65 кКал,1 г,3 г,9 г
Баклажаны по-Корейски [Ашан],96 кКал,"1,3 г","7,1 г","6,7 г"
Баклажаны с Паприкой [Ашан],96 кКал,"1,2 г",7 г,"7,6 г"
Балык Свиной [Ашан],158 кКал,17 г,10 г,0 г
Бальзамический Уксус [Ашан],122 кКал,"0,8 г","0,1 г","29,2 г"
Банан [Ашан],96 кКал,"1,5 г","0,5 г",21 г
Банановые Чипсы [Ашан],339 кКал,"4,7 г",31 г,"53,6 г"
Баранина Тазобедренная Часть [Ашан],198 кКал,"16,1 г","14,9 г",0 г
Баранки Сдобные с Маком [Ашан],380 кКал,"8,5 г","8,5 г",69 г
Батат [Ашан],61 кКал,2 г,0 г,"14,6 г"
Батон [Ашан],263 кКал,"7,5 г","2,9 г","50,5 г"
Батон Арбатский [Ашан],268 кКал,"8,3 г","2,2 г","52,4 г"
Батон Домашний [Ашан],262 кКал,"8,3 г","1,7 г","52,4 г"
Батон Нарезной [Ашан],263 кКал,"7,7 г","2,9 г","50,5 г"
Батон с Изюмом [Ашан],279 кКал,10 г,"4,9 г","48,8 г"
Батон с Солодом и Кориандром [Ашан],259 кКал,"6,1 г","1,1 г",43 г
Батончик Barre Chocolat Noir [Ашан],86 кКал,"1,6 г","2,9 г","13,4 г"
Батончик Энерджи-Мик [Ашан],400 кКал,11 г,18 г,48 г
Батончики Мюсли Зеленое Яблоко [Ашан],391 кКал,5 г,"6,2 г","74,9 г"
Батончики Мюсли Красные Фрукты [Ашан],388 кКал,"5,2 г","8,9 г","71,8 г"
Батончики Мюсли Шоколадные [Ашан],87 кКал,"1,1 г","2,4 г","14,9 г"
Бедра Куриные [Ашан],145 кКал,15 г,11 г,"0,3 г"
Бедро Индейки Гриль [Ашан],132 кКал,15 г,8 г,0 г
Безе Меренги [Ашан],389 кКал,"4,5 г",0 г,"92,7 г"
Бекон Копчено-Вареный [Ашан],446 кКал,8 г,46 г,0 г
Белый Грейпфрут [Ашан],33 кКал,"0,7 г","0,1 г","8,4 г"
Бельгийские Вафли [Ашан],399 кКал,"7,6 г","19,6 г","55,3 г"
Бельгийские Вафли со Сгущеным Молоком [Ашан],339 кКал,"7,6 г","19,6 г","55,3 г"
Беляш с Мясом [Ашан],402 кКал,"11,6 г","24,2 г","33,7 г"
Бефстроганов из Телятины [Ашан],100 кКал,"19,5 г","2,5 г",0 г
Био Овощной Суп-Пюре [Ашан],25 кКал,1 г,1 г,"2,7 г"
Био Соевый Натуральный Напиток [Ашан],36 кКал,"3,5 г",2 г,1 г
Био-Йогурт 1% [Ашан],40 кКал,"3,2 г",1 г,4 г
