Продукт,Калорийность,Белки,Жиры,Углеводы
Маффин Шоколадный с Черничным Джемом [Макдоналдс],360 кКал,5 г,16 г,49 г
Маэстро Биф & Бородинский [Макдоналдс],643 кКал,36 г,40 г,36 г
Маэстро Классик [Макдоналдс],686 кКал,41 г,42 г,37 г
Микс Бокс [Макдоналдс],858 кКал,38 г,41 г,83 г
"Молоко 3,5% [Макдоналдс]",62 кКал,3 г,"3,5 г","4,7 г"
Молочный Коктейль Ваниль [Макдоналдс],81 кКал,2 г,"1,5 г",15 г
"Молочный Коктейль Ванильный (0,3 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Ванильный (0,4 L) [Макдоналдс]",385 кКал,9 г,7 г,71 г
"Молочный Коктейль Клубника (0,25 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Клубничный (0,3 L) [Макдоналдс]",244 кКал,"6,1 г","4,6 г",45 г
"Молочный Коктейль Клубничный (0,4 L) [Макдоналдс]",385 кКал,9 г,7 г,71 г
"Молочный Коктейль Шоколадный (0,25 L) [Макдоналдс]",247 кКал,"6,7 г",5 г,43 г
"Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс]",386 кКал,10 г,"7,9 г",68 г
"Молочный Коктейль Шоколадный (0,47 L) [Макдоналдс]",386 кКал,10 г,"7,9 г",68 г
"Молочный Коктейль Шоколадный (0,6 L) [Макдоналдс]",493 кКал,13 г,10 г,87 г
Морковные Палочки [Макдоналдс],34 кКал,"1,3 г","0,1 г","6,9 г"
Морковные Палочки [Макдоналдс],28 кКал,1 г,"0,1 г","5,5 г"
Морковные палочки McDonalds [Макдоналдс],27 кКал,1 г,0 г,6 г
Мороженное с Шоколадом [Макдоналдс],315 кКал,6 г,9 г,52 г
Мороженое Гуава [Макдоналдс],257 кКал,"1,9 г","4,9 г",48 г
Мороженое Карамельное [Макдоналдс],319 кКал,"5,6 г","6,9 г",59 г
Мороженое Клубничное [Макдоналдс],258 кКал,5 г,"4,9 г",48 г
Мороженое Макфлури Де Люкс Шоко-Карамель [Макдоналдс],406 кКал,"7,1 г",11 г,71 г
Мороженое Малина [Макдоналдс],209 кКал,"4,8 г","4,9 г",36 г
Мороженое Персик [Макдоналдс],260 кКал,"5,1 г","4,9 г",49 г
Мороженое Рожок [Макдоналдс],164 кКал,"3,8 г","3,6 г",29 г
