Продукт,Калорийность,Белки,Жиры,Углеводы
"Простокваша 2,5% жирности",53 кКал,"2,9 г","2,5 г","4,1 г"
"Простокваша 2,5% жирности, «Цитрусовая»",76 кКал,"2,6 г","2,5 г","10,1 г"
"Простокваша 3,2% жирности",59 кКал,"2,9 г","3,2 г","4,1 г"
"Простокваша 4,0% жирности «Мечниковская»",66 кКал,"2,8 г",4 г,"4,1 г"
Простокваша обезжиренная,30 кКал,3 г,"0,05 г","3,8 г"
Простокваша цитрусовая 1%,63 кКал,"2,7 г",1 г,"10,1 г"
"Пудинг из творога 9%-ного, по 1-334",224 кКал,"13,9 г","9,6 г","20,1 г"
"Ряженка 2,5% жирности",54 кКал,"2,9 г","2,5 г","4,2 г"
"Ряженка 4,0% жирности",67 кКал,"2,8 г",4 г,"4,2 г"
"Ряженка 6,0% жирности",85 кКал,3 г,6 г,"4,1 г"
"Ряженка, 1%",40 кКал,3 г,1 г,"4,2 г"
"Сливки 1,4% жирности, с молоком",59 кКал,"2,6 г","1,4 г",9 г
"Сливки 10% жирности, пастеризованные",119 кКал,"2,7 г",10 г,"4,5 г"
Сливки 10% жирности. стерилизованные,119 кКал,"2,7 г",10 г,"4,4 г"
"Сливки 11,5% жирности, с молоком",131 кКал,"3,13 г","11,5 г","4,3 г"
Сливки 19% жирности,195 кКал,"2,96 г","19,1 г","3,66 г"
"Сливки 20% жирности, пастеризованные",207 кКал,"2,5 г",20 г,4 г
"Сливки 25% жирности, стерилизованные",251 кКал,"2,4 г",25 г,"3,9 г"
Сливки 31% жирности,292 кКал,"2,17 г","30,91 г","2,96 г"
"Сливки 35% жирности, пастеризованные",337 кКал,"2,2 г",35 г,"3,2 г"
Сливки 36% жирности,340 кКал,"2,84 г","36,08 г","2,84 г"
"Сливки 5% жирности, с молоком",72 кКал,"3,33 г",5 г,"3,33 г"
"Сливки 8% жирности, пастеризованные",102 кКал,"2,8 г",8 г,"4,5 г"
"Сливки взбитые 13% жирности, замороженные",224 кКал,3 г,"13,1 г","23,6 г"
Сливки взбитые 22% жирности в аэрозольном балончике,257 кКал,"3,2 г","22,22 г","12,49 г"
"Сливки взбитые 27% жирности,  плодово-ягодные",344 кКал,"2,8 г",27 г,"23,6 г"
"Сливки взбитые 27% жирности, шоколадные",337 кКал,"2,8 г",27 г,"21,6 г"
"Сливки взбитые 28% жирности, ванильные",346 кКал,"2,8 г",28 г,"21,6 г"
